Record datetime: 2025-09-14 17:53:29.823497
Timestamp,Fp1,Fp2,AF3,AF4,F3,Fz,F4,FC3,FCz,FC4,C3,Cz,C4,CP3,CPz,CP4,P3,Pz,P4,O1,Oz,O2
0.052,-9879.29,-2230.48,700.46,3566.67,-107.65,4206.78,-1475.13,4954.17,20851.72,9248.21,4381.39,9305.75,9280.13,-837.03,85.65,24556.92,-2151.8,-5197.09,-3693.89,544.49,12003.15,722.54
0.054,-9879.87,-2229.41,713.83,3570.87,-87.93,4229.35,-1455.05,4956.19,20853.64,9250.98,4381.17,9309.01,9279.64,-841.45,92.85,24542.39,-2092.62,-5173.8,-3696.58,561.61,12007.49,731.75
0.056,-9882.78,-2233.25,722.86,3571.76,-72.55,4253.31,-1437.84,4957.66,20856.46,9252.24,4384.83,9317.73,9278.61,-846.28,102.95,24526.3,-2028.87,-5150.02,-3703.01,574.17,11997.03,731.89
0.058,-9890.29,-2243.18,715.3,3562.33,-82.57,4249.29,-1447.81,4951.85,20850.51,9244.55,4385.37,9320.54,9274.9,-851.56,104.03,24519.95,-2032.94,-5149.66,-3708.06,571.13,11974.9,719.55
0.060,-9892.17,-2250.24,705.91,3554.42,-97.32,4232.03,-1465.25,4947.38,20845.64,9235.74,4382.33,9313.35,9270.92,-854.33,95.17,24522.99,-2076.88,-5167.99,-3709.99,552.36,11969.81,714.76
0.062,-9891.41,-2255.38,689.01,3544.67,-124.32,4198.86,-1494.04,4935.89,20832.94,9224.97,4372.14,9297.39,9263.64,-860.59,73.67,24531.8,-2166.2,-5209.92,-3713.43,519.77,11978.3,706.14
0.064,-9889.84,-2255.87,680.16,3541.72,-135.99,4178.84,-1509.95,4933.88,20828.07,9221.03,4365.21,9284.87,9259.39,-863.05,58.16,24537.83,-2218.28,-5235.81,-3718.62,497.51,11980.13,693.57
0.066,-9886.36,-2251.85,678.55,3543.02,-136.3,4175.17,-1512.99,4937.19,20830.53,9224.03,4364.27,9283.39,9259.79,-860.45,55.03,24542.3,-2228.65,-5241.53,-3717.99,501.53,11992.34,699.65
0.068,-9874.96,-2237.72,692.68,3555.04,-118.96,4191.13,-1497.75,4946.75,20838.22,9234.58,4369.86,9290.9,9266.85,-854.82,63.57,24547.04,-2204.91,-5228.16,-3710.26,522.49,12004.81,709.62
0.070,-9862.66,-2223.55,717.31,3572.39,-86.9,4224.97,-1465.69,4961.37,20851.9,9249.64,4381.12,9304.85,9277.0,-846.55,82.84,24544.5,-2131.19,-5192.98,-3701.63,551.46,12006.6,720.53
0.072,-9857.61,-2215.59,737.61,3584.15,-58.96,4258.19,-1436.59,4970.54,20862.18,9259.25,4391.58,9318.89,9283.66,-842.75,102.73,24536.05,-2053.54,-5155.74,-3698.5,576.14,11995.87,726.52
0.074,-9861.41,-2218.68,741.32,3585.18,-52.57,4273.16,-1426.58,4973.49,20866.43,9260.24,4401.1,9332.79,9287.51,-838.73,119.18,24532.02,-2003.25,-5129.99,-3695.73,588.3,11986.53,736.85
0.076,-9864.85,-2224.85,732.65,3578.2,-65.31,4258.86,-1438.74,4969.87,20861.33,9251.66,4403.65,9332.35,9285.5,-836.13,119.18,24534.48,-2018.76,-5135.13,-3692.51,580.83,11994.57,748.96
0.078,-9871.02,-2234.55,709.85,3561.48,-100.18,4218.4,-1474.59,4953.06,20842.55,9234.31,4390.69,9314.11,9274.68,-846.64,91.87,24540.61,-2117.25,-5183.41,-3697.47,540.06,11986.26,739.75
0.080,-9878.35,-2242.95,687.05,3548.7,-131.74,4179.73,-1506.91,4938.39,20826.42,9222.6,4374.5,9293.54,9264.8,-856.92,63.75,24548.25,-2212.55,-5228.34,-3704.09,507.03,11974.77,719.41
0.082,-9880.54,-2244.88,681.68,3547.4,-136.52,4174.41,-1511.07,4942.1,20830.84,9226.71,4374.46,9292.69,9266.77,-851.91,60.26,24555.58,-2220.02,-5234.02,-3702.39,516.01,11998.15,717.71
0.084,-9880.01,-2241.92,682.76,3549.19,-134.51,4177.63,-1505.84,4943.71,20834.15,9233.37,4371.78,9293.5,9269.22,-853.43,58.2,24556.25,-2218.14,-5234.64,-3704.09,522.18,12001.86,711.41
0.086,-9873.84,-2231.51,701.0,3562.47,-108.67,4205.08,-1478.3,4952.16,20844.83,9246.51,4375.49,9300.61,9275.21,-850.89,68.08,24547.31,-2160.25,-5209.34,-3708.47,545.56,12005.66,709.85
0.088,-9869.37,-2224.4,721.78,3573.46,-81.0,4238.7,-1449.15,4959.58,20855.92,9255.05,4382.73,9311.2,9279.01,-849.9,81.05,24531.31,-2089.31,-5184.17,-3716.69,558.48,11993.72,706.81
0.090,-9874.11,-2225.83,731.35,3578.74,-62.9,4265.92,-1428.54,4964.19,20866.61,9263.01,4390.24,9326.67,9286.3,-849.46,99.15,24523.93,-2024.26,-5147.03,-3714.82,576.94,11981.97,711.37
0.092,-9887.61,-2242.64,719.9,3565.64,-75.28,4257.96,-1437.4,4957.75,20861.82,9250.76,4390.87,9326.94,9279.91,-851.07,99.64,24516.24,-2013.36,-5148.46,-3715.35,565.45,11974.1,712.53
0.094,-9893.51,-2253.15,698.0,3549.1,-109.57,4218.98,-1473.7,4941.61,20843.63,9233.06,4380.45,9311.42,9269.85,-859.16,79.53,24524.33,-2109.87,-5188.11,-3720.0,539.48,11976.29,707.25
0.096,-9894.04,-2257.93,680.34,3538.46,-137.33,4182.73,-1505.26,4930.3,20830.8,9222.15,4370.35,9294.53,9262.07,-863.54,58.7,24535.64,-2199.59,-5230.84,-3722.68,506.85,11978.08,701.13
0.098,-9893.15,-2254.93,674.89,3538.28,-143.54,4170.7,-1514.2,4932.99,20832.94,9226.76,4368.51,9290.73,9265.65,-859.6,53.96,24549.41,-2229.9,-5240.05,-3716.16,511.5,11997.21,710.16
0.100,-9889.26,-2248.45,678.46,3544.72,-137.6,4176.56,-1507.04,4937.99,20839.92,9235.11,4369.72,9293.59,9272.13,-855.54,57.13,24556.34,-2218.68,-5234.96,-3708.6,520.89,12006.37,720.44
0.102,-9879.43,-2234.86,698.31,3562.15,-109.21,4205.75,-1476.69,4951.05,20853.42,9250.0,4376.87,9302.57,9279.73,-849.37,69.65,24552.99,-2158.6,-5207.69,-3703.42,537.6,12008.43,728.94
0.104,-9873.26,-2224.18,718.07,3574.36,-83.15,4235.52,-1447.72,4958.56,20860.26,9258.49,4382.33,9309.99,9282.63,-848.56,80.06,24539.76,-2095.48,-5184.98,-3707.31,550.26,11989.79,719.68
0.106,-9874.87,-2221.41,725.45,3577.62,-74.25,4254.03,-1434.4,4957.48,20859.05,9260.55,4385.1,9318.4,9284.96,-852.99,89.41,24531.08,-2057.88,-5164.55,-3709.9,572.79,11983.22,717.98
0.108,-9885.19,-2231.33,721.02,3573.06,-75.19,4259.3,-1432.34,4956.81,20858.69,9256.13,4389.84,9323.23,9284.83,-851.02,100.63,24524.51,-2014.52,-5144.79,-3706.23,586.11,11991.98,730.77
0.110,-9893.6,-2242.64,698.89,3556.74,-108.23,4222.74,-1465.16,4941.17,20839.02,9238.91,4382.42,9309.95,9273.74,-857.06,84.98,24527.95,-2091.27,-5178.27,-3712.31,566.08,11989.79,720.08
0.112,-9899.59,-2250.69,681.24,3545.84,-131.88,4190.86,-1490.01,4931.42,20826.46,9226.4,4373.39,9294.08,9264.57,-859.6,67.01,24532.25,-2152.88,-5209.79,-3718.97,533.67,11974.32,707.03
0.114,-9905.22,-2256.41,667.24,3539.31,-149.58,4167.66,-1508.47,4927.0,20821.01,9222.55,4365.12,9282.23,9262.92,-860.94,52.66,24543.02,-2208.89,-5236.21,-3717.9,494.82,11960.82,696.7
0.116,-9909.38,-2260.07,662.33,3536.45,-153.33,4162.92,-1511.74,4929.14,20823.47,9224.88,4364.54,9281.83,9265.25,-857.95,52.03,24549.68,-2213.98,-5239.29,-3710.7,499.92,11981.03,704.66
0.118,-9899.99,-2249.48,673.23,3543.38,-138.22,4173.79,-1500.34,4934.42,20825.97,9231.63,4364.54,9282.72,9267.61,-859.07,54.54,24547.49,-2196.91,-5229.59,-3711.1,532.51,12014.6,718.34
0.120,-9884.52,-2237.05,695.99,3555.45,-108.05,4201.06,-1475.71,4945.14,20831.87,9239.36,4370.97,9289.65,9269.98,-858.66,63.75,24535.02,-2138.75,-5206.66,-3716.69,551.73,12005.17,717.67
0.122,-9873.84,-2226.95,721.65,3569.57,-74.7,4239.72,-1444.86,4959.27,20845.46,9251.57,4385.68,9308.12,9279.15,-850.98,86.55,24527.2,-2050.95,-5166.34,-3713.16,580.56,11998.24,721.78
0.124,-9876.48,-2231.02,724.69,3569.04,-69.83,4252.2,-1437.71,4961.33,20848.5,9253.71,4393.55,9320.77,9285.05,-848.56,100.63,24524.47,-2015.19,-5146.0,-3711.33,585.35,11985.72,720.98
0.126,-9886.71,-2246.22,707.08,3552.81,-92.4,4226.54,-1462.47,4949.93,20834.2,9238.83,4388.05,9313.57,9277.27,-854.46,91.33,24523.89,-2062.04,-5166.7,-3716.74,562.64,11976.11,713.42
0.128,-9895.16,-2257.93,688.57,3538.77,-117.61,4194.57,-1491.13,4939.6,20820.56,9226.13,4379.73,9299.35,9268.73,-858.44,75.15,24530.82,-2131.95,-5195.62,-3719.82,540.96,11984.92,712.26
0.130,-9903.12,-2267.94,666.48,3524.24,-148.15,4156.98,-1522.96,4926.41,20805.05,9211.56,4366.23,9280.27,9256.93,-866.17,50.83,24538.01,-2218.68,-5240.37,-3723.8,507.03,11986.97,704.8
0.132,-9904.01,-2267.18,662.01,3524.24,-150.83,4150.99,-1526.27,4930.71,20809.65,9215.58,4364.45,9278.08,9258.67,-861.48,48.95,24545.93,-2227.57,-5241.35,-3718.26,511.63,12002.13,713.24
0.134,-9901.24,-2261.06,668.0,3530.37,-142.11,4160.82,-1515.54,4935.71,20816.76,9222.51,4366.77,9281.74,9261.94,-857.95,53.6,24546.69,-2205.85,-5233.39,-3714.68,522.67,12007.89,717.67
0.136,-9891.63,-2246.93,687.32,3545.75,-119.45,4188.18,-1490.28,4945.73,20828.52,9234.62,4372.76,9292.69,9268.73,-854.37,65.62,24543.24,-2159.04,-5211.04,-3711.69,539.75,12001.99,718.56
0.138,-9878.26,-2228.69,714.5,3565.82,-86.32,4226.94,-1455.95,4960.3,20845.64,9250.85,4385.77,9310.75,9280.71,-846.82,87.13,24540.16,-2088.19,-5174.03,-3705.25,568.58,11999.22,727.37
0.140,-9876.52,-2225.83,726.61,3572.75,-68.71,4254.74,-1435.52,4966.65,20855.88,9258.18,4396.01,9327.7,9287.15,-842.93,106.84,24533.05,-2024.26,-5142.29,-3702.61,585.08,11987.06,730.63
0.142,-9884.66,-2239.47,716.19,3562.69,-80.91,4245.18,-1446.78,4959.45,20848.99,9246.83,4395.07,9325.73,9280.94,-845.39,106.35,24528.31,-2030.12,-5144.92,-3705.07,577.7,11980.49,727.28
0.144,-9892.93,-2251.76,692.59,3544.49,-115.87,4205.84,-1484.38,4940.5,20829.01,9227.38,4381.7,9307.13,9268.15,-856.65,83.37,24532.11,-2124.8,-5187.88,-3712.94,550.12,11981.12,718.07
0.146,-9897.04,-2256.01,680.03,3538.1,-132.14,4181.79,-1503.11,4935.8,20822.8,9219.16,4372.85,9292.56,9261.0,-858.4,66.83,24536.23,-2174.11,-5213.28,-3716.34,524.77,11988.85,715.66
0.148,-9903.88,-2260.92,663.31,3528.71,-155.26,4156.49,-1525.37,4924.58,20813.63,9210.53,4360.87,9278.12,9252.46,-865.91,47.92,24539.53,-2235.89,-5247.25,-3722.06,503.27,11987.51,705.38
0.150,-9902.54,-2256.5,664.79,3532.51,-150.25,4159.66,-1520.46,4928.34,20818.15,9216.74,4358.19,9276.24,9254.74,-865.77,46.98,24541.41,-2228.33,-5242.6,-3721.21,506.71,11991.85,706.94
0.152,-9891.76,-2241.97,682.71,3547.18,-126.78,4184.87,-1494.84,4937.86,20828.74,9228.99,4363.42,9283.66,9262.25,-861.7,56.28,24538.01,-2182.02,-5222.8,-3718.26,520.39,11989.52,709.4
0.154,-9879.65,-2227.66,709.49,3565.64,-90.79,4223.94,-1458.5,4953.41,20845.01,9244.73,4375.94,9298.15,9272.04,-855.04,75.82,24531.31,-2100.26,-5185.2,-3712.76,549.32,11988.54,719.06
0.156,-9874.02,-2220.42,728.04,3576.95,-69.11,4254.52,-1434.98,4962.36,20855.21,9254.7,4389.03,9315.94,9281.38,-850.53,94.91,24526.7,-2041.83,-5156.41,-3708.51,574.44,11982.5,724.46
0.158,-9878.4,-2228.38,724.91,3572.3,-71.88,4256.71,-1437.17,4963.25,20854.98,9252.77,4396.1,9324.48,9284.83,-846.73,104.96,24526.39,-2025.69,-5142.96,-3705.96,582.31,11982.1,730.28
0.160,-9883.99,-2236.47,710.74,3561.12,-91.24,4233.15,-1459.35,4956.41,20843.9,9241.73,4393.41,9316.61,9279.86,-847.49,95.84,24530.68,-2072.32,-5163.03,-3706.86,565.63,11985.85,730.19
0.162,-9886.13,-2239.47,695.5,3550.49,-118.06,4199.49,-1487.6,4946.4,20831.24,9230.24,4385.59,9303.38,9273.11,-850.39,78.1,24542.26,-2157.17,-5201.3,-3708.65,536.26,11990.77,724.46
0.164,-9886.0,-2239.6,683.56,3546.24,-134.16,4175.8,-1505.97,4942.91,20826.24,9226.76,4377.95,9291.62,9270.34,-852.32,63.88,24553.26,-2217.34,-5226.24,-3708.87,516.19,11997.34,719.64
0.166,-9886.31,-2237.95,679.22,3546.46,-137.37,4172.49,-1506.11,4942.82,20827.22,9230.29,4374.91,9288.76,9269.89,-852.76,59.77,24554.91,-2222.12,-5232.19,-3709.67,511.23,11996.67,715.3
0.168,-9879.34,-2226.55,693.71,3560.68,-117.08,4195.11,-1482.46,4952.88,20838.13,9244.59,4379.29,9297.34,9277.27,-848.43,69.25,24552.63,-2177.6,-5212.16,-3707.93,527.9,12001.68,722.41
0.170,-9876.65,-2220.24,709.04,3570.42,-94.68,4220.95,-1459.21,4958.51,20844.61,9251.3,4383.22,9303.91,9280.35,-847.13,78.95,24542.17,-2123.46,-5190.12,-3709.72,547.66,11995.42,723.93
0.172,-9873.84,-2216.04,728.22,3579.45,-68.13,4253.13,-1432.79,4966.29,20853.55,9258.9,4392.48,9316.7,9284.74,-844.09,96.34,24529.83,-2048.27,-5156.28,-3710.12,575.96,11987.2,727.82
0.174,-9874.73,-2219.8,728.94,3575.88,-70.1,4259.04,-1433.77,4965.35,20852.21,9258.18,4398.82,9327.74,9287.51,-843.64,106.98,24528.18,-2031.59,-5143.49,-3708.6,590.44,11978.66,727.24
