Serial Number,Fp1,Fp2,AF3,AF4,F7,F3,Fz,F4,F8,FT7,FC3,FCz,FC4,FT8,T7,C3,Cz,C4,T8,TP7,CP3,CPz,CP4,TP8,P7,P3,Pz,P4,P8,O1,Oz,O2
1878193,10851.86,8823.08,10887.67,3998.1,26063.79,4765.66,12808.62,2486.68,12185.95,11233.58,12733.57,10215.69,-1368.91,19939.9,-452.89,4746.88,3931.72,9171.1,8865.19,9119.56,7562.0,7408.4,2097.4,22776.11,9473.97,5657.45,6153.48,4172.58,7732.18,6893.5,12240.44,7286.4
1878194,10848.24,8769.22,10882.97,4030.47,26051.32,4760.47,12808.94,2509.25,12149.25,11228.26,12728.6,10209.96,-1350.89,19859.3,-448.2,4744.65,3925.46,9170.7,8866.45,9127.47,7560.97,7400.93,2101.2,22739.5,9514.24,5656.29,6143.91,4179.6,7735.76,6896.5,12251.48,7307.63
1878195,10826.65,8748.61,10858.79,4006.01,26009.12,4729.36,12780.5,2485.87,12164.0,11200.41,12697.18,10176.48,-1378.61,19830.42,-474.97,4712.78,3891.62,9137.39,8846.28,9147.14,7531.91,7364.86,2059.76,22740.93,9527.34,5633.4,6108.55,4130.42,7713.99,6849.2,12212.95,7257.34
1878196,10798.31,8761.57,10827.01,3960.19,25975.19,4695.79,12747.07,2450.15,12191.89,11173.23,12660.61,10140.9,-1425.46,19895.38,-506.13,4671.25,3854.16,9104.13,8824.78,9095.19,7482.29,7324.93,2020.11,22733.78,9419.83,5580.47,6065.86,4088.18,7688.91,6797.75,12158.5,7178.22
1878197,10742.25,8730.41,10769.88,3884.51,25920.47,4637.0,12686.31,2368.3,12112.37,11118.88,12601.2,10078.18,-1501.23,19843.12,-571.04,4609.73,3790.81,9032.03,8750.71,9023.09,7413.67,7261.99,1953.01,22592.38,9329.35,5498.98,6000.06,4034.09,7670.18,6738.29,12088.18,7115.28
1878198,10677.07,8647.4,10706.53,3821.88,25860.43,4577.91,12623.59,2297.67,12016.7,11058.35,12547.64,10023.51,-1562.3,19799.0,-627.5,4562.62,3738.55,8975.43,8713.25,8998.05,7378.4,7212.42,1895.83,22552.06,9353.45,5473.67,5949.72,3969.36,7651.4,6638.96,11999.8,7048.18
1878199,10657.0,8589.69,10690.62,3838.73,25849.61,4564.05,12614.52,2306.92,11991.89,11044.53,12535.35,10019.71,-1550.54,19805.03,-632.2,4549.38,3733.5,8989.34,8725.9,8967.88,7361.06,7206.25,1907.63,22619.03,9319.07,5451.05,5942.57,3978.12,7645.55,6620.72,11990.91,7038.88
1878200,10660.62,8590.49,10699.74,3865.64,25861.01,4573.08,12630.61,2332.32,11978.7,11047.08,12542.95,10035.62,-1529.71,19774.36,-653.88,4554.39,3748.57,9004.58,8755.89,8949.46,7361.55,7223.15,1922.12,22664.45,9251.34,5450.07,5971.8,3994.12,7640.85,6710.44,12056.22,7098.87
1878201,10698.35,8659.11,10738.23,3903.06,25911.08,4613.53,12667.58,2369.87,12094.57,11077.08,12583.45,10075.67,-1505.84,19694.21,-620.22,4595.88,3788.53,9019.42,8763.85,8997.83,7405.18,7264.59,1948.27,22624.3,9284.51,5490.04,6012.22,4029.08,7687.17,6766.05,12107.94,7181.66
1878202,10817.93,8754.95,10856.56,4032.93,26031.07,4730.7,12783.14,2487.44,12273.07,11195.27,12701.42,10189.45,-1400.96,19893.23,-493.17,4715.5,3902.35,9124.25,8858.53,9109.77,7528.02,7377.6,2053.28,22683.58,9436.77,5618.47,6128.27,4136.5,7740.63,6839.5,12222.78,7291.32
