Serial Number,Fp1,Fp2,AF3,AF4,F7,F3,Fz,F4,F8,FT7,FC3,FCz,FC4,FT8,T7,C3,Cz,C4,T8,TP7,CP3,CPz,CP4,TP8,P7,P3,Pz,P4,P8,O1,Oz,O2
1876192,10966.62,9056.79,11011.36,3942.0,26130.66,4847.33,12923.29,2551.45,12004.14,11323.8,12917.56,10410.68,-1199.89,19992.96,-391.24,4854.35,4087.82,9302.71,9035.96,9253.22,7567.59,7572.86,2239.24,22847.77,10054.75,5542.61,6219.55,4096.99,7794.72,7054.03,12228.42,7272.63
1876193,10967.69,9059.52,11011.99,3946.42,26137.86,4849.3,12922.84,2554.49,12033.64,11331.8,12920.25,10411.8,-1200.2,19983.44,-369.21,4858.02,4086.84,9298.28,9031.98,9248.08,7565.08,7573.58,2231.29,22884.12,10032.27,5532.86,6222.9,4087.69,7797.5,7119.16,12262.03,7291.68
1876194,11006.85,9113.07,11052.04,3982.5,26184.44,4888.73,12962.54,2602.01,12087.96,11381.91,12962.22,10445.82,-1162.29,20010.89,-308.1,4903.48,4121.62,9337.62,9056.21,9283.57,7609.87,7608.35,2272.68,22968.47,10073.66,5582.44,6261.66,4135.79,7784.49,7158.86,12317.55,7361.37
1876195,10995.36,9112.58,11037.92,3963.23,26152.17,4868.7,12949.57,2591.51,12050.63,11353.66,12940.45,10427.89,-1177.8,19988.09,-394.11,4878.0,4104.94,9319.56,8976.51,9258.27,7594.05,7591.23,2251.76,22911.66,10081.44,5578.01,6244.14,4112.14,7785.96,7151.84,12300.97,7361.95
1876196,10968.36,9090.45,11005.37,3926.53,26104.78,4831.02,12915.46,2550.24,11998.01,11308.73,12900.94,10392.49,-1221.93,19986.89,-447.17,4833.83,4068.82,9273.65,8874.67,9230.64,7552.83,7553.64,2201.96,22698.33,10050.06,5537.73,6207.21,4065.34,7797.58,7092.79,12269.01,7326.5
1876197,10970.15,9091.39,11003.58,3924.12,26105.81,4827.89,12914.08,2546.85,12003.47,11315.39,12901.83,10392.13,-1221.93,19987.82,-411.05,4837.86,4069.0,9274.9,8901.94,9232.61,7552.65,7552.39,2206.92,22743.53,10035.13,5528.7,6202.97,4069.49,7810.73,7070.12,12266.64,7325.43
1876198,10977.52,9095.37,11010.38,3929.93,26117.07,4834.82,12921.63,2556.15,12022.96,11324.91,12911.4,10401.56,-1212.18,19985.77,-406.18,4852.38,4081.03,9286.66,8930.15,9241.91,7571.21,7567.9,2222.7,22764.72,10056.81,5556.38,6223.8,4087.06,7813.63,7120.64,12294.49,7352.07
1876199,10957.09,9075.03,10995.4,3918.22,26111.31,4821.85,12907.77,2540.9,12011.11,11304.8,12897.94,10393.52,-1222.6,19980.0,-431.97,4839.38,4073.43,9281.29,8933.41,9237.93,7559.76,7560.48,2217.29,22763.46,10057.66,5541.09,6211.55,4077.09,7814.48,7110.72,12260.56,7310.27
1876200,10960.18,9078.43,11002.56,3930.73,26130.66,4832.04,12916.22,2546.67,12018.94,11312.62,12905.85,10406.26,-1214.46,20000.48,-421.87,4845.99,4085.63,9291.98,8986.25,9233.19,7561.19,7571.97,2231.11,22810.63,10018.14,5535.01,6222.32,4090.95,7828.56,7111.25,12267.13,7306.92
1876201,10958.97,9068.06,11002.91,3928.81,26130.13,4834.86,12916.76,2541.75,12010.75,11314.45,12909.97,10409.52,-1215.35,19999.58,-416.95,4849.48,4089.21,9294.88,8995.5,9230.24,7566.2,7579.43,2241.43,22835.62,10028.83,5549.0,6241.46,4112.27,7841.57,7172.09,12303.12,7322.7
1876202,10958.7,9062.34,11001.48,3924.3,26115.55,4832.67,12913.01,2539.56,12001.05,11313.92,12906.97,10404.11,-1217.01,19988.27,-417.4,4844.16,4082.28,9292.51,8958.58,9220.14,7558.96,7571.74,2241.52,22819.25,10024.04,5540.15,6229.12,4111.96,7841.26,7161.01,12297.75,7343.0
1876203,10970.59,9075.43,11013.2,3939.09,26122.3,4842.77,12924.63,2559.54,11998.77,11325.58,12914.17,10410.06,-1195.01,20006.87,-422.22,4850.06,4087.87,9311.65,8937.17,9220.68,7562.53,7573.17,2256.99,22851.98,10027.75,5539.61,6225.54,4121.62,7831.29,7120.06,12275.18,7317.56
1876204,10984.0,9092.11,11022.05,3948.75,26122.3,4846.17,12932.54,2576.53,12005.52,11322.9,12913.77,10411.93,-1179.01,20021.04,-420.75,4847.87,4086.84,9321.93,8869.8,9231.05,7562.04,7568.7,2252.43,22868.79,10027.93,5536.66,6217.5,4105.3,7818.1,7096.28,12266.32,7304.24
1876205,10986.55,9094.16,11023.25,3943.21,26127.98,4847.24,12932.05,2574.12,12027.43,11323.57,12913.32,10406.21,-1186.52,20020.86,-404.57,4847.69,4080.89,9311.47,8948.88,9245.22,7563.61,7563.52,2230.66,22839.55,10052.7,5542.29,6215.26,4081.47,7775.32,7063.55,12277.05,7331.28
1876206,10996.57,9104.04,11033.54,3952.68,26144.97,4860.3,12942.11,2579.26,12048.04,11330.77,12928.03,10417.66,-1188.44,20024.44,-370.77,4866.6,4094.39,9311.33,9093.54,9257.56,7583.32,7579.61,2246.08,22926.23,10077.42,5560.26,6229.61,4102.13,7788.96,7102.94,12288.45,7341.25
1876207,10991.56,9095.46,11030.54,3947.59,26148.81,4861.19,12938.13,2569.6,12051.21,11316.64,12931.87,10418.73,-1200.96,19980.98,-367.11,4873.04,4096.4,9298.73,9074.23,9233.95,7590.79,7582.87,2241.57,22875.27,10072.68,5565.27,6230.82,4105.03,7790.7,7109.24,12274.55,7322.97
1876208,10957.67,9053.62,11000.77,3917.19,26125.12,4835.26,12908.76,2532.94,12014.02,11296.08,12908.53,10392.4,-1235.92,19934.98,-373.77,4852.97,4071.64,9268.24,8972.39,9237.39,7572.37,7561.91,2215.82,22823.95,10082.25,5551.99,6217.76,4085.81,7801.79,7083.09,12256.85,7312.51
1876209,10962.86,9053.35,11006.94,3926.17,26139.61,4844.65,12916.89,2534.87,12016.83,11330.73,12923.6,10407.24,-1223.09,19976.69,-353.25,4874.02,4087.96,9290.37,8995.24,9342.05,7600.76,7580.82,2241.21,22888.54,10183.32,5586.64,6233.95,4108.25,7801.61,7088.59,12261.0,7319.39
1876210,10978.15,9070.78,11020.35,3946.11,26152.21,4855.34,12930.08,2551.05,12024.52,11341.01,12930.98,10421.86,-1201.99,20037.04,-382.57,4873.22,4100.47,9309.77,9039.81,9286.75,7593.02,7589.31,2254.89,22907.9,10060.74,5570.46,6235.78,4113.48,7805.5,7068.2,12244.55,7278.0
1876211,10968.45,9072.93,11007.52,3933.46,26125.3,4836.96,12917.21,2549.26,12015.76,11312.93,12909.21,10398.34,-1214.33,20013.35,-417.93,4844.2,4074.54,9278.34,8992.42,9158.0,7557.57,7559.94,2219.48,22825.11,9995.16,5532.95,6216.29,4081.38,7784.22,7119.97,12271.91,7295.79
1876212,10977.43,9086.57,11013.42,3933.37,26120.2,4840.81,12921.36,2558.25,12025.19,11324.42,12914.7,10395.17,-1207.26,19966.41,-394.42,4851.45,4071.24,9280.22,8934.84,9179.33,7560.97,7554.17,2217.02,22786.53,10012.2,5527.23,6213.74,4078.39,7790.12,7131.5,12298.33,7339.78
1876213,10993.53,9092.69,11025.4,3944.37,26134.51,4852.38,12933.08,2568.35,12033.29,11343.64,12927.94,10406.88,-1197.52,19986.53,-387.36,4865.48,4083.57,9300.02,8954.11,9198.15,7578.09,7567.23,2235.67,22817.87,10022.12,5547.21,6221.79,4098.24,7795.93,7114.47,12303.43,7363.16
1876214,11002.42,9110.03,11037.16,3957.51,26145.82,4862.76,12946.44,2584.58,12053.13,11354.33,12936.56,10419.98,-1182.23,20007.0,-379.13,4872.23,4097.07,9317.41,9001.0,9251.03,7588.37,7580.28,2252.74,22859.26,10064.59,5566.43,6234.53,4114.78,7782.88,7102.58,12300.75,7353.23
1876215,10978.77,9092.29,11018.69,3935.16,26131.16,4844.29,12925.08,2559.19,12029.53,11335.11,12918.24,10401.88,-1206.14,19956.53,-397.24,4851.76,4078.25,9289.65,8999.17,9237.66,7562.62,7560.66,2224.18,22834.45,10005.49,5532.77,6212.76,4083.4,7794.46,7097.48,12279.29,7310.5
1876216,10950.66,9067.79,10996.92,3911.6,26111.93,4824.53,12903.17,2530.58,12004.59,11311.73,12901.78,10385.34,-1232.88,19928.06,-413.95,4837.72,4063.37,9263.99,8953.84,9244.55,7550.69,7548.77,2203.03,22784.38,10011.48,5526.29,6203.41,4069.05,7808.45,7097.75,12267.04,7315.68
1876217,10951.28,9064.88,10996.16,3915.4,26124.85,4830.3,12907.91,2528.56,12007.4,11307.75,12911.08,10394.72,-1233.77,19949.38,-410.38,4849.12,4074.68,9270.52,8943.65,9265.07,7566.15,7563.43,2214.7,22766.32,10058.02,5551.15,6223.66,4082.05,7822.84,7133.74,12280.99,7323.24
1876218,10955.44,9054.33,10997.55,3923.18,26135.31,4837.9,12911.4,2535.72,12009.86,11308.37,12918.91,10402.68,-1220.41,19979.64,-386.42,4858.91,4082.01,9287.42,8956.84,9257.96,7572.06,7568.7,2227.49,22821.98,10050.01,5549.18,6220.27,4087.87,7810.33,7110.85,12262.21,7305.0
1876219,10975.69,9062.92,11015.88,3948.79,26148.55,4852.47,12929.86,2566.29,12027.74,11323.21,12935.22,10419.98,-1187.32,20024.3,-337.15,4878.4,4099.18,9319.87,8971.59,9266.18,7590.12,7584.84,2258.78,22871.24,10026.59,5564.65,6231.26,4120.45,7826.2,7083.8,12251.26,7287.88
1876220,10995.45,9085.49,11031.97,3971.99,26144.34,4860.34,12947.65,2592.18,12047.5,11331.26,12941.53,10429.23,-1164.57,20051.35,-376.76,4881.89,4109.1,9335.83,9023.53,9265.96,7598.88,7595.08,2275.77,22896.14,10072.86,5580.2,6251.47,4141.42,7812.07,7165.21,12290.2,7315.64
1876221,10973.77,9075.52,11007.34,3945.26,26115.87,4830.7,12920.52,2567.68,12014.69,11315.84,12906.75,10395.17,-1196.53,20008.52,-408.41,4839.42,4071.68,9296.0,8980.84,9224.56,7551.98,7556.05,2232.94,22852.92,10035.13,5530.31,6212.58,4097.25,7797.72,7152.87,12295.29,7340.85
1876222,10965.27,9078.74,10999.43,3928.9,26108.58,4826.19,12911.84,2553.64,12004.14,11320.0,12902.59,10386.36,-1208.42,19989.88,-396.56,4834.59,4062.92,9286.26,8830.1,9225.73,7542.73,7545.68,2217.11,22770.53,10016.67,5518.06,6198.68,4080.4,7798.12,7079.69,12268.92,7339.78
1876223,10959.86,9077.89,10994.15,3919.56,26090.07,4826.01,12908.98,2547.7,12018.26,11310.43,12904.73,10387.71,-1214.33,19970.21,-432.64,4840.49,4065.87,9284.47,8857.46,9268.73,7558.38,7550.29,2212.33,22754.03,10104.02,5538.36,6201.22,4070.03,7788.47,7068.43,12260.07,7328.82
1876224,10956.47,9078.34,10995.31,3920.41,26102.95,4831.6,12909.65,2545.28,12007.49,11319.86,12910.86,10392.49,-1219.56,19954.65,-428.97,4846.26,4070.21,9278.97,8988.62,9276.38,7561.46,7555.43,2213.4,22815.99,10080.55,5538.23,6204.26,4070.61,7791.33,7068.56,12245.54,7298.87
1876225,10965.94,9093.63,11009.89,3933.46,26130.4,4845.81,12927.31,2557.67,11984.83,11330.37,12922.48,10414.21,-1199.13,19995.11,-420.26,4857.21,4093.01,9303.91,9021.97,9253.0,7570.49,7580.1,2247.2,22879.74,10033.65,5545.07,6231.93,4108.79,7828.07,7131.99,12267.67,7308.17
1876226,10945.69,9052.68,10992.01,3921.48,26122.8,4828.07,12909.52,2527.04,11980.67,11315.62,12903.35,10400.18,-1221.25,19992.47,-442.16,4836.6,4080.45,9288.58,9012.89,9213.75,7552.92,7569.91,2240.36,22870.98,10003.57,5528.48,6223.84,4110.35,7822.89,7133.47,12256.4,7314.12
1876227,10966.75,9054.24,11013.29,3948.53,26146.18,4846.22,12929.23,2552.17,12038.74,11341.63,12919.84,10414.62,-1200.91,20012.23,-383.47,4853.46,4092.07,9305.39,9056.52,9233.86,7566.15,7579.03,2250.69,22895.52,10009.87,5543.41,6235.11,4121.13,7794.86,7131.55,12278.39,7349.57
1876228,10986.78,9084.91,11028.62,3967.08,26150.51,4853.37,12942.33,2581.0,12059.7,11342.21,12924.58,10423.2,-1177.31,20031.01,-384.81,4857.03,4101.05,9324.07,9065.82,9236.9,7569.82,7583.41,2266.33,22921.49,10002.9,5543.5,6232.61,4129.17,7795.93,7118.27,12279.65,7335.75
1876229,10969.7,9077.45,11007.16,3936.86,26112.51,4827.71,12915.73,2554.36,12021.98,11318.74,12898.43,10392.85,-1212.09,19976.56,-425.53,4831.2,4070.16,9284.07,8936.27,9219.33,7546.35,7550.87,2224.04,22800.79,9995.61,5519.85,6202.74,4088.49,7800.49,7081.48,12254.52,7287.97
1876230,10963.89,9073.47,11000.99,3922.46,26108.04,4824.76,12908.58,2539.69,12011.25,11321.2,12898.66,10385.47,-1231.63,19952.87,-426.11,4834.41,4062.7,9266.05,8906.05,9229.12,7553.55,7544.79,2199.77,22736.69,10045.14,5532.1,6198.54,4055.9,7799.55,7076.7,12258.32,7299.28
1876231,10974.89,9082.45,11012.7,3930.11,26122.66,4838.04,12922.04,2551.23,12016.66,11336.76,12914.3,10397.05,-1219.69,19953.49,-368.09,4853.19,4074.63,9275.97,8959.07,9261.13,7574.51,7559.54,2213.94,22786.31,10080.95,5556.73,6219.95,4077.58,7792.89,7108.7,12298.51,7349.21
1876232,10975.06,9073.87,11012.12,3925.37,26134.91,4837.19,12918.55,2538.89,12003.47,11333.14,12912.51,10397.41,-1229.21,19965.29,-352.31,4852.34,4073.69,9269.31,8981.33,9254.92,7569.69,7560.34,2211.66,22827.66,10054.8,5547.03,6212.13,4075.04,7812.16,7103.65,12274.37,7334.9
1876233,10968.54,9067.03,11008.37,3922.78,26139.29,4834.91,12915.64,2529.9,11999.94,11325.41,12908.76,10394.86,-1235.02,19983.58,-380.83,4845.41,4069.98,9266.45,8986.79,9234.04,7557.75,7556.86,2206.88,22817.06,10011.17,5534.92,6209.58,4070.83,7795.08,7094.26,12255.91,7314.03
1876234,10956.78,9056.39,11000.37,3916.61,26139.52,4832.09,12908.58,2522.3,12005.7,11313.96,12908.18,10395.08,-1236.23,19986.53,-413.33,4844.87,4071.37,9271.82,8990.01,9253.58,7559.27,7558.87,2216.26,22830.65,9996.86,5532.55,6207.26,4076.82,7795.98,7093.06,12239.59,7289.84
1876235,10953.29,9054.11,10998.53,3915.89,26135.85,4833.25,12906.93,2523.91,12006.78,11303.9,12909.25,10393.83,-1233.95,19976.74,-418.87,4845.72,4069.81,9272.58,8966.58,9257.56,7561.95,7559.18,2218.1,22847.64,10038.44,5539.03,6213.25,4083.93,7815.42,7113.26,12238.16,7274.46
1876236,10961.12,9066.0,11003.36,3922.87,26129.41,4832.13,12910.05,2536.57,12012.32,11312.26,12906.79,10389.36,-1227.29,19976.6,-411.67,4842.68,4065.29,9274.28,8962.47,9254.43,7558.6,7554.53,2214.74,22837.76,10025.83,5538.27,6212.13,4080.45,7805.59,7113.0,12270.26,7312.73
1876237,10969.97,9072.75,11005.82,3924.52,26124.85,4831.73,12909.29,2545.46,12012.1,11322.99,12907.64,10383.86,-1223.4,19966.72,-404.07,4844.43,4061.62,9276.38,8972.03,9244.59,7559.18,7548.77,2221.36,22825.65,10035.08,5537.6,6206.36,4089.3,7805.32,7056.13,12267.08,7297.62
1876238,10991.74,9094.34,11025.67,3944.77,26142.96,4852.52,12928.61,2570.94,12028.5,11346.28,12930.98,10402.32,-1199.39,19987.87,-383.06,4869.73,4079.77,9298.91,8980.22,9244.15,7582.78,7565.35,2240.81,22867.35,10091.1,5556.33,6221.34,4102.98,7814.66,7064.63,12270.84,7299.23
1876239,10992.72,9098.99,11030.94,3949.96,26143.4,4857.93,12936.92,2577.74,12019.92,11339.58,12936.3,10409.48,-1187.82,19998.91,-386.51,4871.83,4087.46,9307.36,8975.7,9233.82,7583.63,7575.05,2246.57,22828.69,10051.04,5565.18,6241.01,4109.19,7804.65,7166.33,12320.77,7362.89
1876240,10974.48,9085.49,11015.57,3937.75,26138.98,4845.59,12923.02,2560.57,12012.41,11314.72,12923.6,10401.74,-1197.25,19989.21,-384.9,4856.1,4079.24,9299.13,8970.34,9242.13,7568.03,7566.91,2237.23,22830.65,9999.86,5547.93,6224.78,4095.47,7800.89,7143.66,12291.63,7332.62
1876241,10969.97,9083.79,11013.15,3937.39,26134.06,4844.52,12921.41,2558.43,12029.31,11310.56,12922.21,10403.98,-1195.91,19995.02,-388.65,4854.8,4082.01,9302.53,8953.21,9256.35,7565.13,7568.79,2239.02,22861.27,10022.12,5539.16,6223.4,4098.73,7825.39,7109.24,12274.42,7318.54
1876242,10958.39,9063.86,11002.74,3926.98,26120.2,4837.63,12911.71,2543.05,12026.18,11324.65,12917.7,10400.18,-1211.87,19973.61,-389.05,4854.53,4078.93,9296.0,8908.02,9249.82,7566.51,7567.85,2235.71,22809.11,10022.52,5541.49,6220.67,4099.98,7811.8,7095.07,12244.2,7303.16
1876243,10964.29,9055.45,11008.99,3933.19,26135.05,4849.12,12917.34,2541.8,12025.82,11359.25,12932.54,10410.28,-1214.68,19982.5,-354.59,4872.81,4088.89,9295.15,8959.79,9257.78,7586.45,7580.33,2237.81,22810.58,10034.77,5567.37,6236.05,4103.91,7814.71,7095.11,12251.97,7304.68
1876244,10967.96,9062.34,11011.41,3934.4,26137.06,4848.14,12919.53,2541.8,12016.21,11349.72,12928.61,10405.18,-1217.37,19986.39,-387.27,4865.71,4083.48,9285.81,8988.75,9249.96,7580.5,7573.53,2228.29,22809.37,10050.6,5560.85,6237.16,4095.24,7821.19,7139.06,12294.93,7349.75
1876245,10976.67,9079.99,11013.6,3936.86,26136.34,4842.1,12920.52,2550.83,12020.59,11330.68,12917.65,10400.67,-1211.64,19992.03,-416.5,4850.24,4078.79,9286.21,8974.72,9237.44,7567.63,7565.08,2226.23,22813.62,10021.81,5546.09,6222.99,4087.28,7813.41,7138.74,12280.27,7321.27
1876246,10983.33,9081.56,11016.91,3938.65,26136.07,4843.62,12925.75,2562.99,12012.01,11339.76,12920.34,10401.21,-1199.84,19999.4,-381.45,4855.51,4079.37,9296.85,8955.41,9253.53,7574.16,7566.6,2235.93,22832.49,10036.2,5558.74,6228.31,4099.89,7808.18,7159.4,12294.76,7333.92
1876247,10992.77,9092.51,11025.71,3952.01,26146.94,4851.18,12936.83,2577.33,12017.01,11350.13,12928.92,10414.48,-1178.43,20044.73,-360.67,4867.63,4092.74,9322.73,8982.23,9291.71,7583.19,7574.25,2253.19,22871.65,10060.43,5554.45,6224.2,4104.85,7799.02,7084.83,12272.27,7308.98
1876248,11014.27,9120.58,11047.75,3982.46,26164.33,4871.56,12963.61,2611.71,12079.51,11354.42,12948.05,10447.12,-1136.14,20096.19,-361.87,4886.72,4125.51,9375.71,9070.52,9290.06,7604.91,7606.08,2306.83,22993.87,10075.63,5576.49,6247.27,4156.08,7797.85,7072.09,12267.62,7289.04
1876249,10982.62,9075.84,11019.23,3946.83,26144.21,4847.38,12933.84,2568.57,12053.54,11326.7,12924.67,10418.28,-1188.89,20019.25,-391.2,4863.11,4096.49,9317.59,9058.49,9252.86,7581.35,7581.13,2259.36,22919.66,10050.42,5559.82,6233.23,4125.37,7806.57,7100.84,12261.0,7297.62
1876250,10951.01,9038.06,10987.8,3910.12,26114.75,4816.8,12898.79,2519.27,11994.8,11288.66,12894.45,10384.26,-1248.17,19934.98,-422.27,4832.63,4061.31,9248.62,8954.15,9217.19,7549.26,7547.78,2194.23,22756.67,9997.18,5524.5,6202.12,4057.91,7816.09,7100.03,12249.29,7300.12
1876251,10958.88,9045.26,11000.19,3914.28,26130.4,4832.85,12908.67,2520.34,11988.0,11313.25,12911.93,10397.5,-1237.79,19922.83,-404.21,4850.78,4075.26,9265.16,8951.61,9227.96,7567.9,7564.19,2209.47,22756.89,10003.08,5549.85,6223.62,4072.4,7822.26,7129.04,12263.87,7336.33
1876252,10963.4,9053.53,11005.6,3921.17,26133.61,4836.92,12914.97,2532.23,11987.46,11319.82,12913.63,10403.35,-1222.64,19942.72,-415.07,4851.36,4082.41,9282.63,8952.59,9228.99,7572.06,7570.85,2225.03,22783.18,10013.31,5556.6,6230.19,4090.68,7823.07,7150.95,12282.19,7345.23
1876253,10966.84,9063.1,11007.16,3927.6,26122.8,4834.06,12916.31,2541.44,12004.81,11311.9,12908.27,10397.63,-1221.03,19955.19,-414.85,4844.34,4077.32,9278.52,8951.38,9237.8,7566.56,7562.31,2219.84,22796.95,10037.01,5552.58,6222.19,4086.03,7816.05,7130.56,12280.45,7325.38
1876254,10986.06,9088.04,11023.7,3943.7,26132.63,4847.69,12931.11,2566.16,12035.12,11333.05,12920.92,10405.99,-1201.32,19986.3,-400.23,4853.23,4081.83,9294.35,8976.68,9241.15,7568.66,7563.74,2233.21,22860.74,10037.72,5546.9,6219.86,4092.65,7817.03,7105.57,12298.73,7349.97
1876255,11000.46,9102.84,11037.65,3956.62,26149.22,4862.85,12945.91,2582.79,12050.72,11360.1,12938.93,10421.32,-1179.77,20020.99,-368.71,4873.98,4096.99,9322.2,8982.23,9255.23,7585.6,7578.45,2264.86,22913.85,10046.08,5556.46,6228.81,4129.26,7805.14,7097.35,12289.57,7334.55
1876256,10986.24,9085.76,11022.05,3940.88,26141.21,4845.99,12929.23,2564.37,12040.39,11346.01,12922.71,10405.81,-1194.66,19991.76,-398.31,4859.0,4082.59,9309.5,8902.66,9249.6,7572.95,7563.52,2247.15,22860.07,10049.08,5542.2,6212.53,4105.61,7788.42,7067.31,12252.51,7292.26
1876257,10979.22,9074.63,11014.89,3938.51,26139.74,4839.64,12920.92,2556.91,12033.24,11329.03,12913.9,10399.73,-1206.95,19931.5,-411.32,4847.07,4074.63,9289.07,8950.35,9197.79,7562.44,7557.48,2220.15,22802.89,9990.47,5536.88,6209.09,4073.2,7793.96,7075.18,12251.04,7297.93
1876258,10979.71,9081.78,11022.58,3954.2,26146.22,4852.07,12934.55,2572.64,12041.06,11333.72,12927.94,10415.11,-1188.22,19976.51,-383.02,4865.04,4091.76,9307.27,9046.91,9227.52,7581.09,7576.97,2244.12,22868.47,9995.3,5558.03,6233.41,4104.41,7804.92,7128.33,12277.63,7324.67
1876259,10969.3,9069.62,11015.57,3943.47,26151.81,4850.51,12925.79,2552.3,12019.25,11329.79,12926.59,10412.78,-1205.47,20012.19,-399.11,4863.25,4090.06,9297.61,9011.24,9242.85,7577.46,7575.94,2241.92,22869.19,10034.73,5555.44,6232.2,4103.91,7827.09,7119.97,12267.8,7300.66
1876260,10964.34,9060.32,11009.4,3932.39,26149.44,4845.23,12915.96,2536.39,12002.57,11323.08,12921.72,10403.22,-1220.76,20009.55,-416.23,4855.92,4079.77,9286.21,8918.39,9217.68,7570.0,7566.69,2223.02,22780.41,10037.54,5551.41,6226.79,4084.96,7810.64,7106.78,12261.09,7303.03
1876261,10964.83,9073.38,11008.41,3932.74,26127.76,4839.56,12915.91,2544.57,12009.73,11310.16,12914.35,10395.39,-1216.92,19974.41,-403.54,4849.08,4072.98,9288.85,8936.63,9230.56,7566.2,7560.3,2230.39,22810.8,10052.21,5549.98,6224.2,4097.57,7810.82,7137.94,12280.54,7351.62
1876262,10975.82,9090.37,11015.12,3946.25,26119.4,4840.76,12921.77,2561.69,12037.26,11308.64,12914.79,10395.75,-1209.86,19940.89,-381.14,4847.24,4070.57,9283.89,9005.92,9231.32,7560.92,7552.7,2222.7,22841.2,10024.31,5536.3,6208.15,4081.79,7803.8,7090.11,12264.67,7320.82
1876263,10993.03,9095.42,11030.36,3958.76,26137.28,4856.5,12937.68,2582.92,12049.38,11327.06,12933.12,10410.32,-1188.62,19986.93,-345.74,4864.86,4085.18,9303.24,9037.61,9269.94,7573.04,7565.75,2241.16,22874.91,10006.92,5549.8,6217.09,4098.51,7789.76,7059.4,12267.58,7323.41
1876264,10990.62,9087.46,11028.48,3951.12,26144.3,4855.29,12936.47,2573.8,12034.85,11329.12,12933.35,10412.43,-1193.67,20028.24,-354.68,4868.52,4087.73,9304.49,9023.62,9291.8,7578.81,7567.5,2236.56,22886.89,10037.05,5551.1,6217.76,4092.78,7783.15,7042.32,12241.16,7289.49
1876265,10975.51,9080.53,11013.29,3929.39,26126.33,4840.45,12923.24,2553.78,11994.93,11322.05,12917.25,10398.61,-1211.69,20013.22,-403.49,4852.92,4074.01,9284.65,8978.43,9274.36,7571.16,7558.06,2218.14,22814.25,10064.86,5554.77,6217.72,4080.8,7779.39,7076.25,12281.75,7347.24
1876266,10971.13,9077.85,11009.49,3925.91,26129.77,4840.72,12919.8,2540.41,12003.02,11324.24,12917.3,10403.08,-1216.87,19997.39,-405.06,4851.85,4079.33,9284.83,8969.8,9255.46,7569.24,7562.49,2220.42,22800.21,10014.61,5551.55,6211.59,4076.78,7806.53,7058.73,12242.18,7306.61
1876267,10971.67,9068.42,11013.96,3935.74,26129.55,4847.15,12925.92,2545.01,12035.03,11330.68,12922.88,10413.95,-1208.65,20007.72,-403.85,4854.84,4089.7,9300.69,9003.42,9239.76,7564.32,7572.32,2239.47,22840.58,9999.95,5535.77,6222.82,4098.51,7822.17,7123.05,12254.7,7299.19
1876268,10981.81,9073.29,11025.98,3945.71,26145.01,4861.73,12936.16,2553.91,12042.81,11346.68,12938.89,10427.4,-1198.37,20022.51,-385.97,4872.14,4101.37,9312.36,8983.08,9257.2,7581.98,7584.66,2243.27,22855.06,10024.27,5555.3,6237.16,4098.01,7809.12,7132.84,12263.6,7299.99
1876269,10990.62,9087.15,11034.43,3956.53,26146.31,4867.41,12946.76,2572.33,12044.64,11343.42,12943.94,10431.6,-1180.44,20031.5,-369.97,4876.75,4105.79,9326.4,8950.0,9254.83,7588.82,7589.98,2255.02,22853.85,10026.72,5568.85,6247.94,4111.51,7803.44,7150.68,12302.22,7326.5
1876270,10997.19,9095.19,11036.67,3955.86,26144.7,4863.78,12947.96,2578.14,12036.59,11337.43,12938.04,10423.24,-1181.69,20013.13,-389.01,4869.51,4096.58,9317.91,8996.76,9254.11,7581.35,7578.76,2255.25,22841.43,10019.71,5562.81,6235.11,4121.21,7811.76,7122.96,12297.44,7338.08
1876271,10984.85,9077.31,11019.5,3929.75,26136.52,4844.79,12926.28,2552.7,12002.44,11337.65,12920.43,10399.1,-1215.31,19952.55,-412.7,4852.7,4072.4,9277.72,8999.35,9256.66,7566.47,7554.13,2219.71,22831.1,10038.88,5543.37,6206.32,4081.96,7809.79,7076.79,12261.18,7299.23
1876272,10974.62,9068.06,11010.65,3923.27,26124.81,4834.41,12917.79,2543.32,11996.9,11333.41,12911.4,10392.18,-1221.03,19948.93,-420.48,4845.05,4067.17,9274.59,8945.08,9252.06,7557.08,7547.96,2212.2,22777.77,10036.07,5529.96,6199.3,4071.41,7800.58,7085.55,12249.47,7287.21
1876273,10985.35,9080.13,11023.84,3943.03,26124.23,4846.48,12934.42,2562.27,12018.94,11330.14,12921.28,10410.32,-1200.02,19982.82,-407.43,4853.82,4086.26,9298.59,8943.47,9234.67,7570.0,7569.37,2240.85,22789.39,10014.88,5552.58,6226.57,4109.28,7826.2,7099.63,12277.14,7325.87
1876274,10971.89,9058.76,11015.88,3935.43,26133.39,4841.12,12924.94,2547.52,12008.88,11328.58,12915.42,10407.29,-1212.76,19976.07,-388.34,4848.81,4082.68,9288.67,8955.9,9227.6,7563.43,7566.83,2233.74,22805.84,9986.49,5535.68,6214.95,4094.12,7826.96,7074.64,12250.86,7293.91
1876275,10974.35,9048.08,11019.86,3944.68,26150.83,4847.69,12930.17,2550.02,12013.71,11334.3,12923.06,10418.86,-1203.02,19990.95,-388.65,4857.17,4095.11,9303.42,9002.52,9228.72,7570.36,7578.94,2240.05,22848.89,9973.39,5543.86,6227.02,4097.43,7829.1,7093.95,12246.43,7280.1
