Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2025-09-24 16:50:32.175
Device ID: STEEG_DG329018
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 500 samples/second
Data type / unit: EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,Fp1,Fp2,AF3,AF4,F7,F3,Fz,F4,F8,FT7,FC3,FCz,FC4,FT8,T7,C3,Cz,C4,T8,TP7,CP3,CPz,CP4,TP8,P7,P3,Pz,P4,P8,O1,Oz,O2,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.028,1877806,10959.7,8883.98,11002.06,4001.09,26151.29,4856.46,12929.28,2545.64,12106.69,11298.44,12862.12,10328.96,-1233.45,20030.48,-334.6,4852.46,4034.43,9282.25,8990.75,9246.98,7630.37,7517.01,2243.62,22843.2,9609.37,5632.42,6244.99,4223.09,7834.86,6940.43,12303.58,7301.15,,,,,
0.030,1877807,10956.28,8879.52,11000.56,4001.7,26152.52,4856.18,12929.08,2541.98,12113.48,11293.28,12860.31,10331.16,-1237.34,20006.44,-347.87,4851.91,4036.26,9277.94,8966.5,9272.55,7632.77,7520.83,2241.33,22831.42,9630.14,5642.05,6250.73,4223.23,7850.48,6955.57,12300.06,7304.15,,,,,
0.032,1877808,10948.7,8862.82,10994.94,4001.28,26148.02,4852.78,12925.71,2537.0,12120.34,11293.59,12856.04,10330.87,-1242.49,19986.82,-372.44,4848.65,4034.7,9270.86,8949.09,9261.02,7631.66,7520.72,2230.52,22816.44,9622.26,5644.07,6252.95,4210.72,7849.33,6969.33,12304.67,7319.52,,,,,
0.034,1877809,10941.59,8847.57,10990.09,4000.2,26148.7,4850.28,12922.3,2533.44,12123.38,11303.12,12854.49,10330.92,-1244.81,19983.66,-377.44,4848.1,4033.97,9269.05,8957.17,9249.75,7630.52,7519.72,2226.26,22817.08,9609.48,5639.7,6251.56,4204.49,7840.08,6965.63,12304.32,7318.88,,,,,
0.036,1877810,10948.33,8853.81,10997.03,4004.65,26158.81,4856.63,12927.56,2539.42,12128.7,11317.97,12862.46,10335.81,-1240.06,19998.94,-360.66,4856.22,4039.45,9275.88,8973.37,9258.34,7638.28,7524.66,2235.98,22832.58,9619.1,5646.56,6256.15,4216.67,7841.45,6968.55,12309.38,7307.14,,,,,
0.038,1877811,10963.45,8871.89,11007.91,4008.57,26163.45,4863.19,12934.12,2547.1,12129.51,11325.21,12868.88,10336.15,-1237.5,20016.04,-352.69,4860.51,4040.07,9277.35,8960.64,9260.66,7643.81,7525.46,2238.74,22825.43,9630.32,5656.66,6258.91,4222.25,7842.75,6987.23,12323.6,7309.66,,,,,
0.040,1877812,10968.14,8877.51,11006.78,4003.5,26153.27,4857.38,12929.54,2544.28,12117.03,11319.62,12860.88,10324.33,-1245.1,20017.16,-364.41,4849.42,4026.74,9264.87,8929.18,9243.73,7633.09,7511.72,2221.54,22788.79,9615.08,5647.23,6245.77,4201.84,7829.03,6985.45,12324.66,7321.48,,,,,
0.042,1877813,10962.04,8873.09,10998.64,3997.25,26143.03,4847.4,12921.0,2537.79,12105.12,11311.68,12848.91,10313.75,-1252.33,20011.48,-375.14,4835.95,4014.4,9254.63,8926.25,9230.65,7617.57,7497.74,2207.08,22772.97,9587.65,5624.7,6227.96,4181.26,7819.39,6946.6,12304.19,7319.7,,,,,
0.044,1877814,10960.86,8877.65,11000.09,4000.77,26147.59,4850.04,12923.61,2540.36,12111.61,11312.32,12851.46,10320.13,-1246.94,20020.92,-374.04,4838.72,4021.2,9263.15,8945.62,9233.83,7618.09,7503.78,2217.05,22798.67,9576.46,5618.56,6229.43,4189.52,7836.27,6916.34,12289.82,7308.16,,,,,
0.046,1877815,10963.71,8885.06,11007.35,4006.11,26157.03,4861.28,12931.82,2545.21,12124.74,11318.77,12864.45,10334.63,-1237.15,20038.4,-371.53,4852.8,4037.99,9279.47,8926.31,9240.96,7632.76,7522.54,2235.46,22811.92,9583.64,5635.57,6247.27,4209.4,7858.24,6932.57,12297.52,7302.29,,,,,
